IBOV - Carteira do Dia 13/01/25
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.170.410;0,233;18,184;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;779.999.989;1,719;18,184;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,125;18,184;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,877;18,184;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.023.538.460;0,921;18,184;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;370.735.677;0,342;1,737;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,395;1,737;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;455.988.366;0,279;2,378;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,544;2,378;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.145.289.019;1,555;2,378;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;389.635.155;0,068;0,814;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;540.206.440;0,746;0,814;
Telecomunicação;VIVT3;TELEF BRASIL;ON;382.442.128;0,927;1,504;
Telecomunicação;TIMS3;TIM;ON      NM;807.495.418;0,577;1,504;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;683.508.568;3,095;3,095;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;323.738.747;0,132;10,947;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.858.636.840;1,006;10,947;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,760;10,947;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,307;10,947;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.977.170.723;3,490;10,947;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.875.696;0,523;10,947;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.175.300;0,616;10,947;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.929.556.616;1,066;10,947;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,461;10,947;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.249.258.717;1,754;10,947;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,462;10,947;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,370;10,947;
Quantidade Teórica Total;;;;98.370.249.996;100,000;100,000
Redutor;;;;16.276.364,39223322
