,datetime,symbol,close
0,2004-10-29 10:00:00,BMFBOVESPA:IBOV,23052.1
1,2004-11-01 10:00:00,BMFBOVESPA:IBOV,23272.9
2,2004-11-03 09:00:00,BMFBOVESPA:IBOV,23660.1
3,2004-11-04 09:00:00,BMFBOVESPA:IBOV,23879.6
4,2004-11-05 09:00:00,BMFBOVESPA:IBOV,23541.6
5,2004-11-08 09:00:00,BMFBOVESPA:IBOV,23211.801
6,2004-11-09 09:00:00,BMFBOVESPA:IBOV,23215.801
7,2004-11-10 09:00:00,BMFBOVESPA:IBOV,23454.5
8,2004-11-11 09:00:00,BMFBOVESPA:IBOV,23520.699
9,2004-11-12 09:00:00,BMFBOVESPA:IBOV,24035.4
10,2004-11-16 09:00:00,BMFBOVESPA:IBOV,23772.0
11,2004-11-17 09:00:00,BMFBOVESPA:IBOV,24169.801
12,2004-11-18 09:00:00,BMFBOVESPA:IBOV,24143.0
13,2004-11-19 09:00:00,BMFBOVESPA:IBOV,24034.1
14,2004-11-22 09:00:00,BMFBOVESPA:IBOV,24444.9
15,2004-11-23 09:00:00,BMFBOVESPA:IBOV,24340.4
16,2004-11-24 09:00:00,BMFBOVESPA:IBOV,24368.301
17,2004-11-25 09:00:00,BMFBOVESPA:IBOV,24866.6
18,2004-11-26 09:00:00,BMFBOVESPA:IBOV,24997.801
19,2004-11-29 09:00:00,BMFBOVESPA:IBOV,24854.699
20,2004-11-30 09:00:00,BMFBOVESPA:IBOV,25128.301
21,2004-12-01 09:00:00,BMFBOVESPA:IBOV,25234.699
22,2004-12-02 09:00:00,BMFBOVESPA:IBOV,25200.4
23,2004-12-03 09:00:00,BMFBOVESPA:IBOV,25467.9
24,2004-12-06 09:00:00,BMFBOVESPA:IBOV,25632.5
25,2004-12-07 09:00:00,BMFBOVESPA:IBOV,24988.6
26,2004-12-08 09:00:00,BMFBOVESPA:IBOV,24968.301
27,2004-12-09 09:00:00,BMFBOVESPA:IBOV,24526.0
28,2004-12-10 09:00:00,BMFBOVESPA:IBOV,24933.301
29,2004-12-13 09:00:00,BMFBOVESPA:IBOV,25225.1
30,2004-12-14 09:00:00,BMFBOVESPA:IBOV,25563.1
31,2004-12-15 09:00:00,BMFBOVESPA:IBOV,25575.801
32,2004-12-16 09:00:00,BMFBOVESPA:IBOV,25831.1
33,2004-12-17 09:00:00,BMFBOVESPA:IBOV,25659.141
34,2004-12-20 09:00:00,BMFBOVESPA:IBOV,25536.631
35,2004-12-21 09:00:00,BMFBOVESPA:IBOV,25889.721
36,2004-12-22 09:00:00,BMFBOVESPA:IBOV,25723.189
37,2004-12-23 09:00:00,BMFBOVESPA:IBOV,25878.189
38,2004-12-27 09:00:00,BMFBOVESPA:IBOV,25936.93
39,2004-12-28 09:00:00,BMFBOVESPA:IBOV,26116.609
40,2004-12-29 09:00:00,BMFBOVESPA:IBOV,26161.311
41,2004-12-30 09:00:00,BMFBOVESPA:IBOV,26196.25
42,2005-01-03 09:00:00,BMFBOVESPA:IBOV,25722.01
43,2005-01-04 09:00:00,BMFBOVESPA:IBOV,24848.039
44,2005-01-05 09:00:00,BMFBOVESPA:IBOV,24695.141
45,2005-01-06 09:00:00,BMFBOVESPA:IBOV,24366.93
46,2005-01-07 09:00:00,BMFBOVESPA:IBOV,24747.221
47,2005-01-10 09:00:00,BMFBOVESPA:IBOV,24291.801
48,2005-01-11 09:00:00,BMFBOVESPA:IBOV,24369.869
49,2005-01-12 09:00:00,BMFBOVESPA:IBOV,24496.279
50,2005-01-13 09:00:00,BMFBOVESPA:IBOV,24805.74
51,2005-01-14 09:00:00,BMFBOVESPA:IBOV,24924.131
52,2005-01-17 09:00:00,BMFBOVESPA:IBOV,24515.221
53,2005-01-18 09:00:00,BMFBOVESPA:IBOV,24089.189
54,2005-01-19 09:00:00,BMFBOVESPA:IBOV,24271.23
55,2005-01-20 09:00:00,BMFBOVESPA:IBOV,23609.971
56,2005-01-21 09:00:00,BMFBOVESPA:IBOV,23818.369
57,2005-01-24 09:00:00,BMFBOVESPA:IBOV,24197.721
58,2005-01-26 09:00:00,BMFBOVESPA:IBOV,24530.16
59,2005-01-27 09:00:00,BMFBOVESPA:IBOV,24030.09
60,2005-01-28 09:00:00,BMFBOVESPA:IBOV,23968.09
61,2005-01-31 09:00:00,BMFBOVESPA:IBOV,24355.029
62,2005-02-01 09:00:00,BMFBOVESPA:IBOV,24149.461
63,2005-02-02 09:00:00,BMFBOVESPA:IBOV,24605.359
64,2005-02-03 09:00:00,BMFBOVESPA:IBOV,24873.631
65,2005-02-04 09:00:00,BMFBOVESPA:IBOV,25731.939
66,2005-02-09 09:00:00,BMFBOVESPA:IBOV,26307.311
67,2005-02-10 09:00:00,BMFBOVESPA:IBOV,26415.789
68,2005-02-11 09:00:00,BMFBOVESPA:IBOV,26670.52
69,2005-02-14 09:00:00,BMFBOVESPA:IBOV,26531.891
70,2005-02-15 09:00:00,BMFBOVESPA:IBOV,26610.119
71,2005-02-16 09:00:00,BMFBOVESPA:IBOV,26384.08
72,2005-02-17 09:00:00,BMFBOVESPA:IBOV,27090.91
73,2005-02-18 09:00:00,BMFBOVESPA:IBOV,26756.25
74,2005-02-21 10:00:00,BMFBOVESPA:IBOV,26868.141
75,2005-02-22 10:00:00,BMFBOVESPA:IBOV,26646.93
76,2005-02-23 10:00:00,BMFBOVESPA:IBOV,27198.0
77,2005-02-24 10:00:00,BMFBOVESPA:IBOV,28388.98
78,2005-02-25 10:00:00,BMFBOVESPA:IBOV,28396.141
